Ship_Mode,Ship_Date,Ship_id
EXPRESS AIR,17-08-2011,SHP_84
REGULAR AIR,04-03-2009,SHP_85
REGULAR AIR,20-08-2009,SHP_86
DELIVERY TRUCK,17-11-2010,SHP_87
REGULAR AIR,29-05-2011,SHP_88
REGULAR AIR,03-06-2011,SHP_89
EXPRESS AIR,24-08-2010,SHP_90
REGULAR AIR,21-08-2011,SHP_91
REGULAR AIR,05-01-2012,SHP_92
REGULAR AIR,30-11-2012,SHP_93
REGULAR AIR,18-03-2012,SHP_94
REGULAR AIR,19-04-2010,SHP_95
REGULAR AIR,26-08-2010,SHP_96
DELIVERY TRUCK,05-07-2011,SHP_97
REGULAR AIR,12-11-2010,SHP_98
REGULAR AIR,25-06-2010,SHP_99
DELIVERY TRUCK,25-06-2010,SHP_100
REGULAR AIR,19-09-2012,SHP_101
REGULAR AIR,21-09-2012,SHP_102
REGULAR AIR,28-12-2011,SHP_103
REGULAR AIR,24-03-2012,SHP_104
REGULAR AIR,17-10-2011,SHP_105
DELIVERY TRUCK,08-08-2010,SHP_106
REGULAR AIR,10-03-2009,SHP_107
REGULAR AIR,09-02-2010,SHP_108
DELIVERY TRUCK,11-02-2010,SHP_109
REGULAR AIR,17-01-2009,SHP_110
REGULAR AIR,19-01-2009,SHP_111
DELIVERY TRUCK,31-08-2010,SHP_112
REGULAR AIR,31-08-2010,SHP_113
REGULAR AIR,12-09-2009,SHP_114
REGULAR AIR,17-07-2009,SHP_115
REGULAR AIR,20-11-2012,SHP_116
REGULAR AIR,14-09-2011,SHP_117
REGULAR AIR,13-04-2011,SHP_118
EXPRESS AIR,13-04-2011,SHP_119
REGULAR AIR,11-04-2011,SHP_120
REGULAR AIR,11-10-2011,SHP_121
REGULAR AIR,10-10-2011,SHP_122
DELIVERY TRUCK,25-10-2012,SHP_123
REGULAR AIR,08-01-2012,SHP_124
REGULAR AIR,27-01-2010,SHP_125
DELIVERY TRUCK,26-01-2010,SHP_126
REGULAR AIR,29-01-2011,SHP_127
DELIVERY TRUCK,27-01-2011,SHP_128
REGULAR AIR,29-08-2009,SHP_129
DELIVERY TRUCK,19-03-2011,SHP_130
REGULAR AIR,18-03-2011,SHP_131
REGULAR AIR,08-06-2012,SHP_132
DELIVERY TRUCK,13-04-2011,SHP_133
EXPRESS AIR,14-04-2011,SHP_134
REGULAR AIR,12-04-2011,SHP_135
REGULAR AIR,10-11-2012,SHP_136
EXPRESS AIR,15-11-2012,SHP_137
REGULAR AIR,17-05-2012,SHP_138
REGULAR AIR,11-04-2012,SHP_139
REGULAR AIR,07-08-2012,SHP_140
REGULAR AIR,23-07-2009,SHP_141
REGULAR AIR,11-05-2010,SHP_142
DELIVERY TRUCK,20-02-2009,SHP_143
DELIVERY TRUCK,18-02-2009,SHP_144
REGULAR AIR,28-06-2012,SHP_145
EXPRESS AIR,29-06-2012,SHP_146
REGULAR AIR,01-10-2010,SHP_147
REGULAR AIR,16-04-2010,SHP_148
REGULAR AIR,15-04-2010,SHP_149
DELIVERY TRUCK,15-09-2011,SHP_150
DELIVERY TRUCK,22-09-2010,SHP_151
REGULAR AIR,19-08-2010,SHP_152
REGULAR AIR,16-09-2009,SHP_153
DELIVERY TRUCK,23-06-2009,SHP_154
DELIVERY TRUCK,30-08-2012,SHP_155
REGULAR AIR,09-06-2011,SHP_156
REGULAR AIR,11-10-2009,SHP_157
REGULAR AIR,09-10-2009,SHP_158
REGULAR AIR,10-10-2009,SHP_159
REGULAR AIR,07-12-2010,SHP_160
REGULAR AIR,09-06-2009,SHP_161
REGULAR AIR,28-07-2009,SHP_162
EXPRESS AIR,10-09-2011,SHP_163
REGULAR AIR,12-01-2009,SHP_164
REGULAR AIR,15-08-2010,SHP_165
REGULAR AIR,17-08-2010,SHP_166
REGULAR AIR,06-08-2009,SHP_167
DELIVERY TRUCK,19-09-2011,SHP_168
EXPRESS AIR,24-10-2011,SHP_169
REGULAR AIR,15-11-2009,SHP_170
REGULAR AIR,16-11-2009,SHP_171
REGULAR AIR,04-07-2010,SHP_172
REGULAR AIR,05-07-2010,SHP_173
REGULAR AIR,04-02-2009,SHP_174
REGULAR AIR,17-03-2012,SHP_175
REGULAR AIR,10-08-2009,SHP_176
REGULAR AIR,08-04-2010,SHP_177
REGULAR AIR,03-04-2010,SHP_178
REGULAR AIR,31-07-2010,SHP_179
REGULAR AIR,05-06-2009,SHP_180
REGULAR AIR,13-10-2010,SHP_181
EXPRESS AIR,19-05-2010,SHP_182
REGULAR AIR,08-02-2011,SHP_183
REGULAR AIR,09-12-2010,SHP_184
DELIVERY TRUCK,07-01-2009,SHP_185
DELIVERY TRUCK,14-03-2012,SHP_186
REGULAR AIR,02-09-2010,SHP_187
REGULAR AIR,30-08-2010,SHP_188
REGULAR AIR,22-06-2011,SHP_189
REGULAR AIR,04-08-2010,SHP_190
REGULAR AIR,06-08-2010,SHP_191
REGULAR AIR,25-11-2010,SHP_192
DELIVERY TRUCK,03-08-2009,SHP_193
REGULAR AIR,11-08-2011,SHP_194
DELIVERY TRUCK,10-08-2011,SHP_195
DELIVERY TRUCK,08-05-2010,SHP_196
DELIVERY TRUCK,05-07-2012,SHP_197
REGULAR AIR,03-07-2012,SHP_198
REGULAR AIR,24-03-2011,SHP_199
EXPRESS AIR,21-11-2011,SHP_200
DELIVERY TRUCK,03-12-2012,SHP_201
REGULAR AIR,01-08-2010,SHP_202
EXPRESS AIR,30-07-2010,SHP_203
REGULAR AIR,17-05-2012,SHP_204
REGULAR AIR,03-03-2012,SHP_205
REGULAR AIR,04-03-2012,SHP_206
REGULAR AIR,21-08-2010,SHP_207
DELIVERY TRUCK,29-06-2010,SHP_208
REGULAR AIR,28-06-2010,SHP_209
REGULAR AIR,30-10-2012,SHP_210
DELIVERY TRUCK,19-01-2010,SHP_211
EXPRESS AIR,08-07-2012,SHP_212
REGULAR AIR,10-08-2011,SHP_213
EXPRESS AIR,10-08-2011,SHP_214
REGULAR AIR,22-02-2010,SHP_215
REGULAR AIR,22-06-2011,SHP_216
REGULAR AIR,04-09-2009,SHP_217
EXPRESS AIR,07-09-2009,SHP_218
REGULAR AIR,05-09-2009,SHP_219
REGULAR AIR,22-06-2009,SHP_220
REGULAR AIR,10-02-2012,SHP_221
REGULAR AIR,14-03-2009,SHP_222
REGULAR AIR,12-03-2009,SHP_223
EXPRESS AIR,11-03-2009,SHP_224
REGULAR AIR,06-06-2011,SHP_225
REGULAR AIR,11-03-2012,SHP_226
DELIVERY TRUCK,14-08-2011,SHP_227
REGULAR AIR,14-08-2011,SHP_228
REGULAR AIR,03-09-2009,SHP_229
REGULAR AIR,27-01-2010,SHP_230
REGULAR AIR,04-09-2011,SHP_231
DELIVERY TRUCK,04-09-2011,SHP_232
REGULAR AIR,09-02-2012,SHP_233
REGULAR AIR,10-02-2012,SHP_234
REGULAR AIR,21-03-2011,SHP_235
REGULAR AIR,10-05-2011,SHP_236
REGULAR AIR,27-09-2009,SHP_237
REGULAR AIR,25-09-2009,SHP_238
REGULAR AIR,11-07-2012,SHP_239
REGULAR AIR,15-01-2010,SHP_240
REGULAR AIR,27-08-2009,SHP_241
REGULAR AIR,09-10-2009,SHP_242
REGULAR AIR,13-11-2011,SHP_243
REGULAR AIR,15-04-2012,SHP_244
REGULAR AIR,03-01-2012,SHP_245
REGULAR AIR,09-03-2011,SHP_246
REGULAR AIR,04-07-2009,SHP_247
DELIVERY TRUCK,04-07-2009,SHP_248
DELIVERY TRUCK,17-04-2011,SHP_249
REGULAR AIR,26-11-2011,SHP_250
DELIVERY TRUCK,26-11-2011,SHP_251
REGULAR AIR,26-04-2012,SHP_252
REGULAR AIR,27-03-2011,SHP_253
REGULAR AIR,28-03-2011,SHP_254
REGULAR AIR,18-07-2010,SHP_255
REGULAR AIR,25-10-2010,SHP_256
REGULAR AIR,26-08-2009,SHP_257
REGULAR AIR,13-06-2011,SHP_258
DELIVERY TRUCK,24-11-2012,SHP_259
DELIVERY TRUCK,25-11-2012,SHP_260
REGULAR AIR,25-11-2012,SHP_261
REGULAR AIR,01-05-2009,SHP_262
REGULAR AIR,12-05-2012,SHP_263
REGULAR AIR,13-05-2012,SHP_264
REGULAR AIR,17-10-2010,SHP_265
EXPRESS AIR,18-10-2010,SHP_266
REGULAR AIR,16-10-2010,SHP_267
REGULAR AIR,28-07-2011,SHP_268
REGULAR AIR,23-07-2011,SHP_269
REGULAR AIR,11-07-2011,SHP_270
REGULAR AIR,19-09-2012,SHP_271
EXPRESS AIR,18-09-2012,SHP_272
REGULAR AIR,17-01-2009,SHP_273
EXPRESS AIR,22-10-2010,SHP_274
REGULAR AIR,25-10-2010,SHP_275
REGULAR AIR,30-08-2010,SHP_276
REGULAR AIR,31-08-2010,SHP_277
REGULAR AIR,09-05-2010,SHP_278
REGULAR AIR,22-06-2011,SHP_279
DELIVERY TRUCK,26-11-2010,SHP_280
REGULAR AIR,29-04-2012,SHP_281
REGULAR AIR,30-08-2012,SHP_282
REGULAR AIR,02-08-2011,SHP_283
REGULAR AIR,01-08-2011,SHP_284
REGULAR AIR,07-10-2012,SHP_285
REGULAR AIR,08-10-2012,SHP_286
REGULAR AIR,07-02-2010,SHP_287
EXPRESS AIR,08-02-2010,SHP_288
REGULAR AIR,18-10-2011,SHP_289
REGULAR AIR,23-08-2009,SHP_290
REGULAR AIR,21-08-2009,SHP_291
DELIVERY TRUCK,22-08-2009,SHP_292
REGULAR AIR,17-06-2010,SHP_293
REGULAR AIR,15-06-2010,SHP_294
REGULAR AIR,16-06-2010,SHP_295
EXPRESS AIR,16-06-2010,SHP_296
DELIVERY TRUCK,27-02-2010,SHP_297
REGULAR AIR,18-08-2009,SHP_298
REGULAR AIR,16-08-2009,SHP_299
REGULAR AIR,15-05-2011,SHP_300
REGULAR AIR,08-10-2010,SHP_301
REGULAR AIR,09-10-2010,SHP_302
REGULAR AIR,24-10-2009,SHP_303
REGULAR AIR,25-10-2009,SHP_304
REGULAR AIR,11-06-2010,SHP_305
REGULAR AIR,10-01-2011,SHP_306
DELIVERY TRUCK,12-01-2011,SHP_307
EXPRESS AIR,30-01-2009,SHP_308
REGULAR AIR,30-03-2011,SHP_309
REGULAR AIR,01-04-2011,SHP_310
REGULAR AIR,22-11-2010,SHP_311
REGULAR AIR,31-05-2011,SHP_312
REGULAR AIR,14-05-2012,SHP_313
EXPRESS AIR,09-06-2010,SHP_314
REGULAR AIR,30-11-2009,SHP_315
REGULAR AIR,01-09-2012,SHP_316
REGULAR AIR,28-02-2010,SHP_317
EXPRESS AIR,27-02-2010,SHP_318
REGULAR AIR,22-05-2012,SHP_319
REGULAR AIR,09-11-2009,SHP_320
REGULAR AIR,29-08-2010,SHP_321
REGULAR AIR,18-08-2012,SHP_322
DELIVERY TRUCK,18-08-2012,SHP_323
REGULAR AIR,10-11-2012,SHP_324
REGULAR AIR,11-11-2012,SHP_325
DELIVERY TRUCK,02-06-2011,SHP_326
REGULAR AIR,13-08-2011,SHP_327
REGULAR AIR,11-08-2011,SHP_328
REGULAR AIR,12-08-2011,SHP_329
REGULAR AIR,06-03-2009,SHP_330
REGULAR AIR,08-06-2010,SHP_331
REGULAR AIR,19-02-2012,SHP_332
DELIVERY TRUCK,29-02-2012,SHP_333
REGULAR AIR,02-03-2012,SHP_334
REGULAR AIR,16-10-2009,SHP_335
REGULAR AIR,14-03-2009,SHP_336
DELIVERY TRUCK,14-03-2010,SHP_337
REGULAR AIR,09-07-2009,SHP_338
REGULAR AIR,23-11-2012,SHP_339
REGULAR AIR,28-11-2012,SHP_340
REGULAR AIR,03-03-2009,SHP_341
REGULAR AIR,24-09-2011,SHP_342
REGULAR AIR,23-07-2011,SHP_343
EXPRESS AIR,15-07-2009,SHP_344
REGULAR AIR,29-03-2010,SHP_345
REGULAR AIR,01-04-2010,SHP_346
EXPRESS AIR,08-02-2010,SHP_347
DELIVERY TRUCK,19-09-2012,SHP_348
REGULAR AIR,24-12-2010,SHP_349
REGULAR AIR,01-06-2009,SHP_350
REGULAR AIR,22-12-2012,SHP_351
REGULAR AIR,16-02-2012,SHP_352
REGULAR AIR,05-07-2010,SHP_353
EXPRESS AIR,18-05-2011,SHP_354
REGULAR AIR,10-03-2010,SHP_355
REGULAR AIR,28-04-2009,SHP_356
REGULAR AIR,10-04-2012,SHP_357
REGULAR AIR,02-01-2011,SHP_358
REGULAR AIR,02-02-2010,SHP_359
EXPRESS AIR,03-02-2010,SHP_360
REGULAR AIR,16-04-2012,SHP_361
REGULAR AIR,20-05-2010,SHP_362
DELIVERY TRUCK,20-05-2010,SHP_363
REGULAR AIR,28-07-2009,SHP_364
EXPRESS AIR,02-04-2009,SHP_365
EXPRESS AIR,13-06-2012,SHP_366
REGULAR AIR,02-09-2010,SHP_367
DELIVERY TRUCK,11-08-2012,SHP_368
REGULAR AIR,09-05-2010,SHP_369
REGULAR AIR,08-05-2010,SHP_370
REGULAR AIR,25-08-2011,SHP_371
REGULAR AIR,23-09-2010,SHP_372
REGULAR AIR,30-06-2012,SHP_373
REGULAR AIR,17-01-2011,SHP_374
REGULAR AIR,12-10-2010,SHP_375
REGULAR AIR,11-06-2011,SHP_376
REGULAR AIR,05-07-2012,SHP_377
REGULAR AIR,16-03-2010,SHP_378
REGULAR AIR,15-11-2010,SHP_379
REGULAR AIR,14-11-2009,SHP_380
REGULAR AIR,15-11-2009,SHP_381
REGULAR AIR,14-09-2011,SHP_382
REGULAR AIR,25-11-2009,SHP_383
REGULAR AIR,12-07-2010,SHP_384
REGULAR AIR,07-03-2009,SHP_385
DELIVERY TRUCK,21-02-2011,SHP_386
REGULAR AIR,19-02-2011,SHP_387
EXPRESS AIR,20-11-2011,SHP_388
REGULAR AIR,05-06-2011,SHP_389
REGULAR AIR,25-05-2010,SHP_390
DELIVERY TRUCK,27-05-2010,SHP_391
REGULAR AIR,31-05-2009,SHP_392
REGULAR AIR,30-08-2012,SHP_393
REGULAR AIR,17-12-2011,SHP_394
REGULAR AIR,10-12-2009,SHP_395
REGULAR AIR,03-07-2012,SHP_396
REGULAR AIR,26-12-2010,SHP_397
REGULAR AIR,21-05-2011,SHP_398
DELIVERY TRUCK,13-01-2012,SHP_399
REGULAR AIR,05-10-2011,SHP_400
EXPRESS AIR,07-03-2010,SHP_401
REGULAR AIR,07-03-2010,SHP_402
REGULAR AIR,07-11-2011,SHP_403
DELIVERY TRUCK,05-11-2011,SHP_404
DELIVERY TRUCK,07-01-2009,SHP_405
REGULAR AIR,27-11-2010,SHP_406
EXPRESS AIR,09-04-2011,SHP_407
REGULAR AIR,09-04-2011,SHP_408
REGULAR AIR,01-04-2010,SHP_409
REGULAR AIR,11-03-2012,SHP_410
REGULAR AIR,22-02-2009,SHP_411
REGULAR AIR,21-02-2009,SHP_412
DELIVERY TRUCK,01-10-2009,SHP_413
REGULAR AIR,02-11-2012,SHP_414
DELIVERY TRUCK,23-07-2011,SHP_415
REGULAR AIR,25-11-2010,SHP_416
REGULAR AIR,07-02-2010,SHP_417
REGULAR AIR,06-01-2011,SHP_418
REGULAR AIR,04-08-2009,SHP_419
REGULAR AIR,06-06-2010,SHP_420
DELIVERY TRUCK,03-08-2009,SHP_421
REGULAR AIR,30-12-2010,SHP_422
REGULAR AIR,11-10-2012,SHP_423
EXPRESS AIR,04-04-2011,SHP_424
REGULAR AIR,28-11-2009,SHP_425
REGULAR AIR,25-11-2009,SHP_426
DELIVERY TRUCK,12-04-2012,SHP_427
REGULAR AIR,18-02-2010,SHP_428
REGULAR AIR,26-09-2010,SHP_429
EXPRESS AIR,21-02-2009,SHP_430
DELIVERY TRUCK,26-02-2009,SHP_431
REGULAR AIR,13-11-2012,SHP_432
REGULAR AIR,29-10-2011,SHP_433
REGULAR AIR,23-12-2009,SHP_434
REGULAR AIR,07-05-2010,SHP_435
REGULAR AIR,09-01-2011,SHP_436
REGULAR AIR,11-07-2012,SHP_437
REGULAR AIR,10-07-2012,SHP_438
EXPRESS AIR,09-07-2012,SHP_439
REGULAR AIR,10-03-2009,SHP_440
DELIVERY TRUCK,01-01-2012,SHP_441
DELIVERY TRUCK,02-01-2012,SHP_442
REGULAR AIR,31-12-2011,SHP_443
REGULAR AIR,31-03-2009,SHP_444
REGULAR AIR,15-02-2011,SHP_445
REGULAR AIR,28-01-2011,SHP_446
REGULAR AIR,30-01-2011,SHP_447
REGULAR AIR,08-09-2012,SHP_448
REGULAR AIR,09-09-2012,SHP_449
DELIVERY TRUCK,18-05-2009,SHP_450
REGULAR AIR,02-08-2012,SHP_451
DELIVERY TRUCK,03-08-2012,SHP_452
EXPRESS AIR,24-04-2012,SHP_453
REGULAR AIR,19-07-2012,SHP_454
REGULAR AIR,23-09-2012,SHP_455
REGULAR AIR,22-05-2010,SHP_456
REGULAR AIR,04-12-2009,SHP_457
DELIVERY TRUCK,02-06-2010,SHP_458
REGULAR AIR,26-09-2010,SHP_459
REGULAR AIR,20-11-2012,SHP_460
REGULAR AIR,16-12-2010,SHP_461
REGULAR AIR,27-10-2012,SHP_462
REGULAR AIR,18-06-2010,SHP_463
REGULAR AIR,03-07-2012,SHP_464
REGULAR AIR,06-02-2009,SHP_465
EXPRESS AIR,27-08-2011,SHP_466
REGULAR AIR,27-06-2009,SHP_467
REGULAR AIR,03-05-2010,SHP_468
REGULAR AIR,09-04-2009,SHP_469
REGULAR AIR,11-09-2011,SHP_470
DELIVERY TRUCK,16-04-2011,SHP_471
DELIVERY TRUCK,15-02-2011,SHP_472
REGULAR AIR,15-02-2011,SHP_473
REGULAR AIR,31-07-2011,SHP_474
REGULAR AIR,12-08-2010,SHP_475
REGULAR AIR,11-08-2010,SHP_476
REGULAR AIR,06-04-2009,SHP_477
REGULAR AIR,28-10-2010,SHP_478
DELIVERY TRUCK,27-10-2010,SHP_479
EXPRESS AIR,30-05-2012,SHP_480
REGULAR AIR,02-06-2012,SHP_481
REGULAR AIR,12-09-2012,SHP_482
REGULAR AIR,15-09-2012,SHP_483
REGULAR AIR,14-09-2012,SHP_484
REGULAR AIR,16-03-2011,SHP_485
REGULAR AIR,19-06-2011,SHP_486
REGULAR AIR,13-01-2011,SHP_487
REGULAR AIR,20-01-2011,SHP_488
REGULAR AIR,16-01-2011,SHP_489
REGULAR AIR,06-03-2009,SHP_490
EXPRESS AIR,06-03-2009,SHP_491
REGULAR AIR,21-12-2009,SHP_492
REGULAR AIR,14-12-2009,SHP_493
REGULAR AIR,04-02-2009,SHP_494
REGULAR AIR,05-02-2009,SHP_495
EXPRESS AIR,02-09-2009,SHP_496
REGULAR AIR,10-03-2012,SHP_497
DELIVERY TRUCK,21-11-2009,SHP_498
DELIVERY TRUCK,19-11-2009,SHP_499
EXPRESS AIR,26-07-2010,SHP_500
REGULAR AIR,07-08-2010,SHP_501
REGULAR AIR,06-08-2010,SHP_502
REGULAR AIR,08-03-2011,SHP_503
REGULAR AIR,22-10-2011,SHP_504
REGULAR AIR,05-08-2009,SHP_505
DELIVERY TRUCK,30-04-2010,SHP_506
DELIVERY TRUCK,03-05-2010,SHP_507
REGULAR AIR,26-04-2009,SHP_508
REGULAR AIR,06-12-2011,SHP_509
REGULAR AIR,07-08-2010,SHP_510
REGULAR AIR,17-09-2011,SHP_511
REGULAR AIR,03-10-2009,SHP_512
REGULAR AIR,02-03-2009,SHP_513
REGULAR AIR,25-06-2009,SHP_514
EXPRESS AIR,26-06-2009,SHP_515
REGULAR AIR,17-01-2011,SHP_516
REGULAR AIR,22-01-2012,SHP_517
REGULAR AIR,20-01-2012,SHP_518
REGULAR AIR,23-05-2010,SHP_519
DELIVERY TRUCK,16-03-2012,SHP_520
REGULAR AIR,16-03-2012,SHP_521
REGULAR AIR,08-08-2011,SHP_522
REGULAR AIR,10-08-2011,SHP_523
REGULAR AIR,22-05-2011,SHP_524
DELIVERY TRUCK,22-05-2011,SHP_525
EXPRESS AIR,24-12-2010,SHP_526
REGULAR AIR,08-07-2009,SHP_527
REGULAR AIR,28-05-2009,SHP_528
EXPRESS AIR,22-06-2011,SHP_529
REGULAR AIR,23-08-2012,SHP_530
EXPRESS AIR,23-08-2012,SHP_531
DELIVERY TRUCK,27-01-2011,SHP_532
DELIVERY TRUCK,04-12-2012,SHP_533
REGULAR AIR,08-09-2010,SHP_534
EXPRESS AIR,03-04-2011,SHP_535
REGULAR AIR,29-03-2011,SHP_536
REGULAR AIR,21-08-2010,SHP_537
EXPRESS AIR,02-12-2010,SHP_538
REGULAR AIR,02-12-2010,SHP_539
DELIVERY TRUCK,04-12-2010,SHP_540
REGULAR AIR,27-03-2011,SHP_541
REGULAR AIR,22-12-2009,SHP_542
REGULAR AIR,20-12-2009,SHP_543
REGULAR AIR,06-05-2011,SHP_544
REGULAR AIR,25-10-2010,SHP_545
REGULAR AIR,26-10-2010,SHP_546
REGULAR AIR,13-05-2010,SHP_547
REGULAR AIR,13-04-2010,SHP_548
REGULAR AIR,26-01-2009,SHP_549
EXPRESS AIR,26-01-2009,SHP_550
REGULAR AIR,20-11-2010,SHP_551
EXPRESS AIR,19-11-2010,SHP_552
DELIVERY TRUCK,01-10-2010,SHP_553
REGULAR AIR,05-08-2010,SHP_554
DELIVERY TRUCK,15-06-2011,SHP_555
REGULAR AIR,07-05-2010,SHP_556
REGULAR AIR,01-09-2010,SHP_557
REGULAR AIR,01-11-2012,SHP_558
REGULAR AIR,16-07-2009,SHP_559
REGULAR AIR,17-07-2009,SHP_560
DELIVERY TRUCK,14-08-2012,SHP_561
REGULAR AIR,04-02-2009,SHP_562
REGULAR AIR,09-07-2012,SHP_563
REGULAR AIR,28-03-2009,SHP_564
REGULAR AIR,25-09-2010,SHP_565
REGULAR AIR,30-03-2011,SHP_566
REGULAR AIR,03-07-2009,SHP_567
REGULAR AIR,12-12-2010,SHP_568
REGULAR AIR,17-09-2009,SHP_569
REGULAR AIR,06-02-2011,SHP_570
REGULAR AIR,12-09-2010,SHP_571
REGULAR AIR,03-03-2010,SHP_572
REGULAR AIR,05-03-2010,SHP_573
REGULAR AIR,17-09-2009,SHP_574
REGULAR AIR,10-01-2011,SHP_575
EXPRESS AIR,14-01-2011,SHP_576
REGULAR AIR,28-07-2011,SHP_577
REGULAR AIR,25-12-2009,SHP_578
REGULAR AIR,01-11-2012,SHP_579
REGULAR AIR,24-12-2009,SHP_580
REGULAR AIR,17-04-2012,SHP_581
REGULAR AIR,15-05-2011,SHP_582
EXPRESS AIR,07-12-2011,SHP_583
REGULAR AIR,09-12-2011,SHP_584
REGULAR AIR,06-12-2010,SHP_585
REGULAR AIR,26-11-2009,SHP_586
REGULAR AIR,25-11-2009,SHP_587
REGULAR AIR,15-09-2011,SHP_588
DELIVERY TRUCK,15-09-2011,SHP_589
REGULAR AIR,05-12-2010,SHP_590
DELIVERY TRUCK,23-12-2011,SHP_591
REGULAR AIR,22-12-2011,SHP_592
REGULAR AIR,11-08-2012,SHP_593
REGULAR AIR,14-08-2012,SHP_594
REGULAR AIR,25-08-2010,SHP_595
REGULAR AIR,24-05-2011,SHP_596
DELIVERY TRUCK,19-11-2012,SHP_597
REGULAR AIR,30-06-2012,SHP_598
EXPRESS AIR,09-02-2009,SHP_599
REGULAR AIR,08-02-2009,SHP_600
DELIVERY TRUCK,26-12-2009,SHP_601
REGULAR AIR,28-09-2011,SHP_602
REGULAR AIR,24-09-2011,SHP_603
REGULAR AIR,23-09-2011,SHP_604
REGULAR AIR,17-02-2009,SHP_605
DELIVERY TRUCK,16-02-2009,SHP_606
REGULAR AIR,13-10-2009,SHP_607
REGULAR AIR,11-03-2011,SHP_608
REGULAR AIR,13-08-2012,SHP_609
REGULAR AIR,12-08-2012,SHP_610
REGULAR AIR,27-12-2009,SHP_611
EXPRESS AIR,01-07-2012,SHP_612
EXPRESS AIR,29-06-2012,SHP_613
REGULAR AIR,21-01-2009,SHP_614
EXPRESS AIR,22-05-2012,SHP_615
REGULAR AIR,19-03-2009,SHP_616
DELIVERY TRUCK,19-03-2009,SHP_617
EXPRESS AIR,20-03-2009,SHP_618
